"Date","Games","Correct","Accuracy","BrierScore","Reliability","Resolution","Uncertainty","Breakdown"
"2024-06-02","14","7","50","0.254","0.108","0.2296","0.0083","System.Object[]"
"2024-06-03","8","3","37.5","0.2687","0.0299","0.25","0.0024","System.Object[]"
"2024-06-04","3","2","66.67","0.2347","0.0169","0.2222","0","System.Object[]"
"2024-06-05","13","7","53.85","0.245","0.0441","0.2367","0.0041","System.Object[]"
"2024-06-06","9","3","33.33","0.2673","0.1107","0.2222","0.0095","System.Object[]"
"2024-06-07","13","8","61.54","0.2347","0.0141","0.2367","0.0016","System.Object[]"
"2024-06-08","14","5","35.71","0.258","0.0574","0.2449","0.002","System.Object[]"
"2024-06-09","14","7","50","0.2454","0.0076","0.2449","0.0016","System.Object[]"
"2024-06-10","6","1","16.67","0.2775","0.1749","0.2222","0.0022","System.Object[]"
"2024-06-11","14","7","50","0.262","0.0475","0.2296","0.0012","System.Object[]"
"2024-06-12","14","9","64.29","0.2347","0.0181","0.2296","0.0046","System.Object[]"
"2024-06-13","10","8","80","0.2234","0.0712","0.21","0.0027","System.Object[]"
"2024-06-14","14","9","64.29","0.2672","0.0819","0.25","0.0059","System.Object[]"
"2024-06-15","14","11","78.57","0.2018","0.0587","0.2041","0.0058","System.Object[]"
"2024-06-16","14","9","64.29","0.2442","0.0821","0.1684","0.0021","System.Object[]"
"2024-06-17","9","6","66.67","0.2077","0.1227","0.2469","0.0082","System.Object[]"
"2024-06-18","14","7","50","0.2478","0.0038","0.25","0.0032","System.Object[]"
"2024-06-19","14","9","64.29","0.2585","0.064","0.2449","0.0066","System.Object[]"
"2024-06-20","8","6","75","0.2567","0.162","0.2344","0.0024","System.Object[]"
"2024-06-21","13","8","61.54","0.2554","0.0727","0.2485","0.0052","System.Object[]"
"2024-06-22","14","7","50","0.2523","0.1035","0.1684","0.0094","System.Object[]"
"2024-06-23","13","5","38.46","0.2916","0.0624","0.2485","0.0087","System.Object[]"
"2024-06-24","11","9","81.82","0.202","0.0686","0.1983","0.0054","System.Object[]"
"2024-06-25","13","8","61.54","0.2366","0.049","0.2367","0.0096","System.Object[]"
"2024-06-26","5","3","60","0.2493","0.0044","0.24","0.0001","System.Object[]"
"2024-06-27","9","6","66.67","0.227","0.0342","0.2469","0.0105","System.Object[]"
"2024-06-28","14","13","92.86","0.1936","0.1934","0.1224","0.0128","System.Object[]"
"2024-06-30","14","7","50","0.2535","0.0749","0.25","0.0094","System.Object[]"
"2024-07-02","14","7","50","0.2739","0.1054","0.2296","0.0147","System.Object[]"
"2024-07-03","14","8","57.14","0.2283","0.0638","0.2041","0.0101","System.Object[]"
"2024-07-04","14","6","42.86","0.2506","0.0181","0.2449","0.0024","System.Object[]"
"2024-07-05","14","6","42.86","0.2561","0.0583","0.25","0.0045","System.Object[]"
"2024-07-06","14","7","50","0.2593","0.0859","0.2296","0.0039","System.Object[]"
"2024-07-07","14","8","57.14","0.2597","0.0542","0.2449","0.0216","System.Object[]"
"2024-07-08","7","3","42.86","0.278","0.0631","0.2449","0.0017","System.Object[]"
"2024-07-09","12","8","66.67","0.2318","0.0247","0.25","0.006","System.Object[]"
"2024-07-10","16","7","43.75","0.289","0.0798","0.25","0.0079","System.Object[]"
"2024-07-11","11","8","72.73","0.194","0.0225","0.2314","0.0131","System.Object[]"
"2024-07-12","14","6","42.86","0.2683","0.0401","0.25","0.0056","System.Object[]"
"2024-07-13","15","10","66.67","0.2254","0.0169","0.24","0.0061","System.Object[]"
"2024-07-14","14","6","42.86","0.2645","0.0584","0.25","0.0037","System.Object[]"
"2024-07-19","12","6","50","0.2487","0.0743","0.2222","0.0037","System.Object[]"
"2024-07-20","15","6","40","0.2517","0.0403","0.24","0.0106","System.Object[]"
"2024-07-21","14","7","50","0.2536","0.0295","0.2449","0.0028","System.Object[]"
"2024-07-22","12","8","66.67","0.2321","0.0189","0.2222","0.0005","System.Object[]"
"2024-07-23","14","6","42.86","0.2729","0.0378","0.2296","0.0012","System.Object[]"
"2024-07-24","5","4","80","0.2483","0.0818","0.16","0.0001","System.Object[]"
"2024-07-25","7","3","42.86","0.2577","0.0124","0.2449","0.0003","System.Object[]"
"2024-07-26","14","8","57.14","0.2546","0.0158","0.25","0.0008","System.Object[]"
"2024-07-27","15","9","60","0.2492","0.0445","0.2489","0.0026","System.Object[]"
"2024-07-28","14","5","35.71","0.257","0.0836","0.2449","0.0074","System.Object[]"
"2024-07-29","12","9","75","0.2334","0.0739","0.25","0.0032","System.Object[]"
"2024-07-30","14","8","57.14","0.2235","0.0292","0.2449","0.0035","System.Object[]"
"2024-07-31","13","9","69.23","0.2661","0.1402","0.2485","0.0056","System.Object[]"
"2024-08-01","5","2","40","0.2572","0.061","0.24","0.0011","System.Object[]"
"2024-08-02","14","8","57.14","0.2585","0.0478","0.2449","0.0062","System.Object[]"
