mlbam_id,lookup_player_name,team,avg_launch_speed,avg_bat_speed,avg_swing_length,total_pitches,recent_home_runs,recent_strikeouts,HR,SO,PA,AVG,SLG
457705,andrew mccutchen,PIT,75.6,62.83,6.5,14,0,1,9.0,78.0,366.0,0.26,0.39
518692,freddie freeman,LAD,87.66,68.19,7.3,13,0,0,10.0,85.0,380.0,0.3,0.47
521692,salvador pérez,KC,88.2,71.8,8.7,2,0,0,18.0,77.0,407.0,0.26,0.47
542303,marcell ozuna,ATL,80.35,68.38,7.54,12,0,1,13.0,90.0,395.0,0.24,0.39
543807,george springer,TOR,76.15,72.23,7.14,18,0,3,17.0,72.0,388.0,0.28,0.5
545361,mike trout,LAA,81.27,69.47,7.25,19,0,1,18.0,92.0,334.0,0.24,0.47
553993,eugenio suárez,AZ,83.78,68.03,7.2,14,0,1,36.0,110.0,416.0,0.25,0.59
572233,christian walker,HOU,85.53,78.93,7.7,16,0,0,13.0,112.0,410.0,0.24,0.38
592206,nick castellanos,PHI,91.7,72.32,7.43,20,0,1,13.0,85.0,416.0,0.27,0.43
592450,aaron judge,NYY,92.27,73.92,8.63,13,0,1,37.0,119.0,455.0,0.34,0.72
592518,manny machado,SD,73.97,73.89,8.11,14,0,1,19.0,76.0,439.0,0.29,0.49
593428,xander bogaerts,SD,73.15,69.34,7.22,13,0,1,6.0,65.0,410.0,0.27,0.38
596019,francisco lindor,NYM,77.32,68.34,7.51,14,0,0,19.0,83.0,457.0,0.25,0.43
596146,max kepler,PHI,89.44,66.47,7.5,13,0,0,11.0,66.0,333.0,0.2,0.37
605137,josh bell,WSH,82.88,73.86,8.53,14,0,1,13.0,59.0,344.0,0.22,0.39
605141,mookie betts,LAD,80.97,73.5,7.13,17,0,0,11.0,46.0,414.0,0.24,0.37
606192,teoscar hernández,LAD,87.2,73.05,7.69,15,0,0,14.0,79.0,331.0,0.25,0.45
607043,brandon nimmo,NYM,87.88,74.52,7.45,16,1,0,19.0,79.0,409.0,0.26,0.47
607208,trea turner,PHI,84.8,71.03,7.22,16,0,0,11.0,74.0,449.0,0.29,0.43
621020,dansby swanson,CHC,84.65,67.24,6.94,11,0,1,16.0,114.0,424.0,0.25,0.42
621043,carlos correa,MIN,86.17,73.43,7.14,17,0,1,7.0,65.0,345.0,0.27,0.39
621439,byron buxton,MIN,97.77,75.8,8.57,7,0,1,23.0,95.0,357.0,0.29,0.57
