game_date,away_team,home_team,away_pitcher,home_pitcher,home_pitcher_total_pitches,home_pitcher_avg_velocity,home_pitcher_avg_spin_rate,home_pitcher_avg_extension,home_pitcher_strikeouts,home_pitcher_whiffs,home_pitcher_avg_bat_speed,home_pitcher_avg_launch_angle,home_pitcher_avg_exit_velocity,home_pitcher_avg_swing_length,home_pitcher_games_played,away_pitcher_total_pitches,away_pitcher_avg_velocity,away_pitcher_avg_spin_rate,away_pitcher_avg_extension,away_pitcher_strikeouts,away_pitcher_whiffs,away_pitcher_avg_bat_speed,away_pitcher_avg_launch_angle,away_pitcher_avg_exit_velocity,away_pitcher_avg_swing_length,away_pitcher_games_played,home_team_mlbam_id,home_team_lookup_player_name,home_team_avg_launch_speed,home_team_avg_bat_speed,home_team_avg_swing_length,home_team_total_pitches,home_team_recent_home_runs,home_team_recent_strikeouts,home_team_HR,home_team_SO,home_team_PA,home_team_AVG,home_team_SLG,away_team_mlbam_id,away_team_lookup_player_name,away_team_avg_launch_speed,away_team_avg_bat_speed,away_team_avg_swing_length,away_team_total_pitches,away_team_recent_home_runs,away_team_recent_strikeouts,away_team_HR,away_team_SO,away_team_PA,away_team_AVG,away_team_SLG,home_wins,home_losses,home_run_diff,home_streak,home_games_played,home_win_pct,away_wins,away_losses,away_run_diff,away_streak,away_games_played,away_win_pct,winner,actual_winner
2024-08-01,ROYALS,TIGERS,SETH LUGO,KEIDER MONTERO,501.0,88.34,2416.53,6.39,22.0,0.0,70.35,19.1,85.47,7.21,6.0,490.0,87.59,2577.85,6.03,21.0,0.0,69.88,12.76,83.16,7.14,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROYALS,ROYALS
2024-08-01,ORIOLES,GUARDIANS,TREVOR ROGERS,BEN LIVELY,526.0,86.13,1933.52,6.81,29.0,0.0,69.72,21.48,84.35,7.08,6.0,564.0,88.49,2237.3,6.76,24.0,0.0,70.92,18.29,83.55,7.33,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GUARDIANS,GUARDIANS
2024-08-01,MARLINS,BRAVES,MAX MEYER,CHARLIE MORTON,,,,,,,,,,,,177.0,90.92,2402.11,6.3,10.0,0.0,69.04,21.82,81.32,7.39,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRAVES,BRAVES
2024-08-01,CARDINALS,CUBS,SONNY GRAY,SHOTA IMANAGA,454.0,86.62,2003.84,6.32,34.0,0.0,71.2,24.63,80.89,7.59,5.0,460.0,87.88,2469.57,6.59,37.0,0.0,67.88,10.37,83.07,7.16,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUBS,CUBS
2024-08-01,ROCKIES,ANGELS,RYAN FELTNER,CARSON FULMER,406.0,89.69,2127.35,6.37,29.0,0.0,70.92,18.59,84.53,7.33,7.0,548.0,88.62,2262.43,6.52,31.0,0.0,70.02,16.24,83.48,7.17,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCKIES,ROCKIES
2024-07-31,MARLINS,RAYS,RODDERY MUNOZ,TAJ BRADLEY,452.0,91.86,2052.48,6.48,31.0,0.0,69.95,19.54,83.66,7.11,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MARLINS,MARLINS
2024-07-31,YANKEES,PHILLIES,NESTOR CORTES,CRISTOPHER SANCHEZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YANKEES,YANKEES
2024-07-31,BLUE JAYS,ORIOLES,PAOLO ESPINO,GRAYSON RODRIGUEZ,585.0,89.0,2251.01,7.28,41.0,0.0,69.09,14.88,83.01,7.17,6.0,75.0,80.44,2286.28,6.5,1.0,0.0,73.04,21.25,84.55,7.27,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIOLES,ORIOLES
2024-07-31,TWINS,METS,PABLO LOPEZ,LUIS SEVERINO,431.0,91.84,2269.27,6.49,22.0,0.0,69.91,19.45,82.05,7.11,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TWINS,TWINS
2024-07-31,BRAVES,BREWERS,CHRIS SALE,FREDDY PERALTA,496.0,89.81,2208.98,6.59,29.0,0.0,69.53,22.03,82.27,7.16,5.0,476.0,88.24,2220.72,6.43,37.0,0.0,68.97,16.38,79.59,7.43,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRAVES,BRAVES
