game_date,home_team,away_team,winner
2024-06-18,Marlins,Cardinals,Marlins
2024-06-18,Guardians,Mariners,Mariners
2024-06-18,Phillies,Padres,Phillies
2024-06-18,Pirates,Reds,Reds
2024-06-18,Nationals,D-backs,D-backs
2024-06-18,Yankees,Orioles,Yankees
2024-06-18,Blue Jays,Red Sox,Red Sox
2024-06-18,Braves,Tigers,Braves
2024-06-18,Twins,Rays,Twins
2024-06-18,Cubs,Giants,Cubs
2024-06-18,Rangers,Mets,Mets
2024-06-18,White Sox,Astros,White Sox
2024-06-18,Rockies,Dodgers,Dodgers
2024-06-18,Angels,Brewers,Brewers
