game_date,away_team,home_team,away_pitcher,home_pitcher,home_pitcher_total_pitches,home_pitcher_avg_velocity,home_pitcher_avg_spin_rate,home_pitcher_avg_extension,home_pitcher_strikeouts,home_pitcher_whiffs,home_pitcher_avg_bat_speed,home_pitcher_avg_launch_angle,home_pitcher_avg_exit_velocity,home_pitcher_avg_swing_length,home_pitcher_games_played,away_pitcher_total_pitches,away_pitcher_avg_velocity,away_pitcher_avg_spin_rate,away_pitcher_avg_extension,away_pitcher_strikeouts,away_pitcher_whiffs,away_pitcher_avg_bat_speed,away_pitcher_avg_launch_angle,away_pitcher_avg_exit_velocity,away_pitcher_avg_swing_length,away_pitcher_games_played,home_team_avg_launch_speed,home_team_avg_bat_speed,home_team_avg_swing_length,away_team_avg_launch_speed,away_team_avg_bat_speed,away_team_avg_swing_length,home_wins,home_losses,home_run_diff,home_streak,home_games_played,home_win_pct,away_wins,away_losses,away_run_diff,away_streak,away_games_played,away_win_pct
2025-07-23,NYY,TOR,MAX FRIED,CHRIS BASSITT,368.0,85.37,2155.33,6.3,19.0,0.0,69.75,19.58,79.71,7.12,5.0,376.0,87.89,2334.46,6.52,16.0,0.0,70.78,14.35,81.31,7.13,4.0,83.56059523809523,70.1571875,6.967110042735043,86.33279761904762,73.63382936507936,7.742609126984127,55,41,17,L2,96,0.573,53.0,43.0,111.0,L2,96.0,0.552
2025-07-23,BOS,PHI,LUCAS GIOLITO,JESUS LUZARDO,,,,,,,,,,,,403.0,89.12,2101.56,6.65,24.0,0.0,68.5,25.25,82.4,7.12,4.0,82.93020833333334,70.27152777777778,7.341388888888889,90.43611111111112,72.29625,7.525416666666667,55,41,63,W1,96,0.573,53.0,45.0,61.0,W10,98.0,0.541
2025-07-23,CWS,TB,JONATHAN CANNON,TAJ BRADLEY,389.0,91.9,2236.64,6.37,22.0,0.0,71.1,11.87,84.99,7.12,5.0,320.0,89.19,2237.88,6.25,12.0,0.0,69.45,22.12,83.23,7.11,4.0,82.33511904761905,70.15076388888889,7.080069444444445,83.76278911564626,67.08734693877551,6.973112244897959,50,47,61,L4,97,0.515,32.0,65.0,-98.0,L2,97.0,0.33
2025-07-23,OAK,TEX,JP SEARS,PATRICK CORBIN,458.0,86.12,2164.8,6.72,27.0,0.0,71.24,13.89,85.74,7.55,5.0,342.0,86.63,2087.04,6.44,21.0,0.0,71.39,29.24,81.3,7.33,4.0,84.22738095238095,68.28695578231293,6.818299319727891,,,,48,49,47,W1,97,0.495,,,,,,
2025-07-23,CIN,WSH,NICK LODOLO,MICHAEL SOROKA,355.0,87.5,2600.48,6.21,18.0,0.0,70.16,21.16,82.93,7.38,4.0,462.0,89.42,2254.33,6.32,30.0,0.0,70.81,20.18,82.44,7.43,5.0,81.6720634920635,70.1353835978836,7.5282458282458276,81.83171130952381,69.22498917748918,7.128701298701299,38,58,-102,L4,96,0.396,50.0,47.0,31.0,W2,97.0,0.515
2025-07-23,SD,MIA,DYLAN CEASE,SANDY ALCANTARA,,,,,,,,,,,,385.0,92.82,2666.54,6.46,29.0,0.0,68.54,24.89,81.42,7.35,4.0,83.79324074074073,70.58845238095238,6.803478835978836,83.00796296296296,69.93690476190476,7.457389770723103,44,51,-55,W2,95,0.463,52.0,44.0,7.0,L1,96.0,0.542
2025-07-23,SF,ATL,JUSTIN VERLANDER,SPENCER STRIDER,483.0,89.97,2317.01,6.93,36.0,0.0,69.49,17.88,85.48,7.46,5.0,396.0,88.75,2456.08,6.05,20.0,0.0,69.44,18.97,82.65,7.2,5.0,82.9297619047619,68.41087430426717,7.273404452690167,85.78404761904763,70.03763227513228,7.25704365079365,42,53,2,L1,95,0.442,52.0,45.0,17.0,L2,97.0,0.536
2025-07-23,DET,PIT,TROY MELTON,BAILEY FALTER,257.0,89.41,1997.68,7.27,10.0,0.0,69.39,25.36,88.78,6.92,4.0,,,,,,,,,,,,86.09250000000002,70.3903540903541,7.317399267399267,82.93660493827161,70.25277676027676,7.124695767195767,39,58,-53,W1,97,0.402,59.0,38.0,87.0,L4,97.0,0.608
2025-07-23,LAA,NYM,BROCK BURKE,SEAN MANAEA,134.0,88.56,2095.03,6.81,13.0,0.0,68.14,29.03,78.51,6.73,2.0,124.0,92.32,2200.77,6.82,8.0,0.0,69.05,13.23,81.15,6.89,12.0,85.34027777777779,70.58229166666666,7.2995238095238095,79.41993197278912,67.4509842141985,6.944344147915577,55,42,45,L1,97,0.567,47.0,49.0,-62.0,L1,96.0,0.49
2025-07-23,KC,CHC,SETH LUGO,COLIN REA,352.0,89.47,2099.99,6.61,16.0,0.0,70.46,15.28,83.81,7.37,4.0,373.0,84.92,2604.95,5.73,25.0,0.0,69.7,14.61,84.64,7.17,4.0,83.82558333333334,67.70243650793651,6.988873015873016,80.22944444444445,66.33746031746031,6.991441798941799,57,39,119,W2,96,0.594,47.0,50.0,-28.0,W1,97.0,0.485
2025-07-23,STL,COL,ANDRE PALLANTE,TANNER GORDON,,,,,,,,,,,,377.0,89.59,2406.81,6.54,9.0,0.0,69.86,9.03,84.38,7.17,4.0,87.12133333333334,69.85126984126984,7.626349206349206,87.28119047619047,69.99289115646259,7.140425170068028,22,74,-253,L2,96,0.229,51.0,46.0,17.0,W1,97.0,0.526
2025-07-23,MIL,SEA,QUINN PRIESTER,LUIS CASTILLO,,,,,,,,,,,,341.0,90.14,2276.97,6.4,30.0,0.0,68.38,7.87,82.48,7.17,4.0,86.57547619047618,67.1893450993451,7.15538406038406,83.23988095238096,70.11314935064935,7.516463100391673,51,45,32,W3,96,0.531,56.0,40.0,81.0,W7,96.0,0.583
2025-07-23,HOU,ARI,BRANDON WALTER,BRANDON PFAADT,373.0,89.68,2564.37,6.63,25.0,0.0,70.21,18.56,83.45,7.29,4.0,366.0,86.38,2303.69,6.64,22.0,0.0,69.96,20.37,80.43,7.18,4.0,,,,78.52916666666667,66.99750566893424,6.97468820861678,47,50,5,W1,97,0.485,56.0,40.0,56.0,L1,96.0,0.583
2025-07-23,MIN,LAD,CHRIS PADDACK,TYLER GLASNOW,173.0,93.69,2590.77,7.66,11.0,0.0,69.7,16.02,83.61,6.89,2.0,453.0,89.69,2112.92,6.94,19.0,0.0,69.48,24.43,81.73,7.01,5.0,84.90572222222222,68.93202380952381,7.387380952380953,82.45002267573696,72.34112014969158,7.121524427952999,58,39,69,W2,97,0.598,47.0,49.0,-8.0,L1,96.0,0.49
2025-07-23,BAL,CLE,ZACH EFLIN,SLADE CECCONI,398.0,87.29,2365.92,6.48,21.0,0.0,69.02,19.5,84.11,7.2,4.0,28.0,89.29,2146.25,6.48,0.0,0.0,64.82,18.18,82.86,7.19,1.0,84.96160256410256,68.09121642246642,7.088058608058607,83.54751322751322,68.96807239057239,6.924929854096521,46,49,-45,W2,95,0.484,43.0,52.0,-90.0,L2,95.0,0.453
