full_name,total_pitches,avg_velocity,avg_spin_rate,avg_extension,strikeouts,whiffs,avg_bat_speed,avg_launch_angle,avg_exit_velocity,avg_swing_length,games_played
Steven Matz,428,89.98,2226.84,6.49,16,0,68.71,20.9,80.98,6.79,5
James Paxton,463,89.53,2058.19,6.7,15,0,70.03,20.49,82.59,6.95,5
Jameson Taillon,240,86.27,2478.41,6.64,9,0,69.31,21.78,80.28,7.37,3
Max Fried,511,86.86,2229.93,6.47,25,0,67.68,4.21,79.11,7.02,6
Luis Severino,565,92.88,2174.72,6.38,31,0,69.74,18.92,81.02,6.96,6
Kenta Maeda,396,84.11,2041.29,6.1,16,0,69.94,13.33,81.61,7.41,5
Griffin Canning,512,88.72,2155.45,6.01,21,0,71.5,18.02,84.88,7.37,6
Clarke Schmidt,537,89.71,2771.99,6.22,34,0,68.62,19.4,82.07,7.05,6
Joe Ryan,538,89.76,2242.92,6.86,41,0,68.36,22.82,81.74,7.05,6
Matt Waldron,553,82.92,1597.37,6.65,27,0,70.12,16.48,79.22,7.07,6
Bailey Falter,439,88.09,1949.85,7.41,23,0,70.05,19.34,81.47,6.9,6
Jake Irvin,507,89.66,2414.02,6.89,25,0,68.82,15.57,84.72,6.91,6
Nick Lodolo,368,88.99,2411.73,6.24,31,0,68.89,13.09,81.57,7.41,4
Bryse Wilson,365,90.42,2214.16,6.61,21,0,69.4,19.93,81.92,7.06,9
Trevor Rogers,533,88.61,2142.56,6.65,27,0,71.52,11.07,84.14,7.4,6
Joe Boyle,520,92.08,2520.28,6.68,28,0,68.43,19.53,83.26,7.11,6
Tommy Henry,516,85.53,2044.37,6.65,24,0,71.91,17.44,84.26,7.47,6
Garrett Crochet,501,92.58,2455.49,7.16,39,0,69.1,20.06,82.53,7.18,6
Grayson Rodriguez,545,89.53,2217.94,7.23,37,0,69.57,19.87,83.67,7.28,6
Jonathan Bowlan,68,91.79,2274.44,6.66,3,0,70.48,24.86,82.27,7.14,1
Bryce Miller,540,90.8,2140.16,6.43,39,0,70.38,18.18,84.26,7.24,6
Ryan Pepiot,532,91.3,2415.68,6.77,38,0,70.84,23.66,83.77,7.23,6
