team,wins,losses,run_diff,streak,games_played,win_pct
BAL,69,48,92,W1,117,.590
NYY,68,48,113,L2,116,.586
BOS,61,54,27,L2,115,.530
TB,58,57,-48,L1,115,.504
TOR,55,62,-83,W2,117,.470
CLE,67,49,73,L7,116,.578
MIN,65,50,57,W2,115,.565
KC,64,53,91,L1,117,.547
DET,55,62,-20,L2,117,.470
CWS,28,90,-249,L2,118,.237
HOU,60,55,48,W3,115,.522
SEA,61,56,25,W2,117,.521
TEX,54,61,-23,L2,115,.470
LAA,51,65,-89,L1,116,.440
OAK,48,69,-74,L1,117,.410
PHI,69,47,107,L1,116,.595
NYM,61,55,35,L1,116,.526
ATL,60,55,32,L6,115,.522
WSH,53,64,-59,W1,117,.453
MIA,43,74,-161,L2,117,.368
MIL,66,49,106,W4,115,.574
STL,60,57,-43,W1,117,.513
CHC,58,60,8,W3,118,.492
PIT,56,59,-17,L5,115,.487
CIN,56,60,40,L1,116,.483
LAD,67,49,93,W1,116,.578
SD,65,52,60,W6,117,.556
ARI,64,53,51,W1,117,.547
SF,60,58,-6,W3,118,.508
COL,43,74,-186,W1,117,.368
