team_name,season,date,games,at_bats,runs,hits,doubles,triples,home_runs,rbi,walks,strikeouts,stolen_bases,caught_stealing,batting_avg,on_base_pct,slugging_pct,ops,sacrifice_flies,hit_by_pitch,total_bases,ground_into_double_plays,intentional_walks,iso,runs_per_game,hr_per_game,k_rate,bb_rate,sb_success_rate
NYY,2025,2025-07-25,104,3542,539,899,179,14,168,517,395,909,65,24,0.254,0.333,0.455,0.787,35,40,1610,66,34,0.201,5.1826923076923075,1.6153846153846154,0.25663466967814796,0.11151891586674195,0.7303370786516854
BOS,2025,2025-07-25,106,3643,516,917,215,18,129,495,342,961,87,24,0.252,0.322,0.427,0.749,23,47,1555,58,17,0.175,4.867924528301887,1.2169811320754718,0.2637935767224815,0.09387867142465002,0.7837837837837838
TB,2025,2025-07-25,105,3539,487,906,160,9,114,457,322,871,138,34,0.256,0.321,0.403,0.724,28,31,1426,73,9,0.14700000000000002,4.6380952380952385,1.0857142857142856,0.24611472167278892,0.0909861542808703,0.8023255813953488
TOR,2025,2025-07-25,105,3565,497,938,189,6,112,473,352,697,53,16,0.263,0.334,0.414,0.748,29,41,1475,79,21,0.15099999999999997,4.733333333333333,1.0666666666666667,0.19551192145862553,0.09873772791023842,0.7681159420289855
BAL,2025,2025-07-25,104,3483,439,839,168,11,125,414,285,896,74,23,0.241,0.305,0.403,0.708,27,49,1404,76,9,0.16200000000000003,4.221153846153846,1.2019230769230769,0.2572494975595751,0.0818260120585702,0.7628865979381443
CLE,2025,2025-07-25,104,3394,402,764,156,10,109,387,336,852,82,26,0.225,0.298,0.373,0.672,39,35,1267,58,19,0.148,3.8653846153846154,1.0480769230769231,0.2510312315851503,0.09899823217442545,0.7592592592592593
DET,2025,2025-07-25,106,3561,498,877,161,20,130,479,338,933,44,10,0.246,0.317,0.412,0.73,33,48,1468,57,7,0.16599999999999998,4.69811320754717,1.2264150943396226,0.2620050547598989,0.09491715810165684,0.8148148148148148
KC,2025,2025-07-25,105,3521,372,859,181,18,89,366,246,720,77,33,0.244,0.299,0.381,0.68,26,40,1343,56,14,0.137,3.5428571428571427,0.8476190476190476,0.20448736154501562,0.06986651519454701,0.7
CWS,2025,2025-07-25,105,3445,394,780,169,9,90,378,342,892,65,18,0.226,0.299,0.359,0.658,28,27,1237,67,7,0.13299999999999998,3.7523809523809524,0.8571428571428571,0.25892597968069664,0.09927431059506531,0.7831325301204819
MIN,2025,2025-07-25,104,3474,438,839,167,12,120,419,310,861,53,20,0.242,0.313,0.4,0.713,23,60,1390,71,5,0.15800000000000003,4.211538461538462,1.1538461538461537,0.24784110535405873,0.0892343120322395,0.726027397260274
HOU,2025,2025-07-25,105,3546,455,912,158,10,116,433,308,832,55,22,0.257,0.322,0.406,0.728,32,48,1438,85,9,0.14900000000000002,4.333333333333333,1.1047619047619048,0.23463056965595036,0.08685843203609701,0.7142857142857143
SEA,2025,2025-07-25,105,3606,483,890,146,5,147,464,355,931,97,25,0.247,0.323,0.412,0.735,24,60,1487,68,17,0.16499999999999998,4.6,1.4,0.2581808097615086,0.09844703272323904,0.7950819672131147
TEX,2025,2025-07-25,105,3489,429,804,153,10,111,412,311,872,98,22,0.23,0.299,0.375,0.674,30,42,1310,56,13,0.145,4.085714285714285,1.0571428571428572,0.24992834623101176,0.08913728862138148,0.8166666666666667
