game_date,away_team,home_team,away_pitcher,home_pitcher
2024-05-29,Pirates,Tigers,Jared Jones,Tarik Skubal
2024-05-29,Pirates,Tigers,Paul Skenes,Keider Montero
2024-05-29,Cardinals,Reds,Andre Pallante,Frankie Montas
2024-05-29,D-backs,Rangers,Ryne Nelson,Dane Dunning
2024-05-29,Phillies,Giants,Cristopher Sánchez,Kyle Harrison
2024-05-29,Marlins,Padres,Braxton Garrett,Yu Darvish
2024-05-29,Dodgers,Mets,James Paxton,David Peterson
2024-05-29,Red Sox,Orioles,Kutter Crawford,Corbin Burnes
2024-05-29,Athletics,Rays,Joey Estes,Ryan Pepiot
2024-05-29,Nationals,Braves,MacKenzie Gore,Spencer Schwellenbach
2024-05-29,Royals,Twins,Seth Lugo,Bailey Ober
2024-05-29,Cubs,Brewers,Shota Imanaga,Bryse Wilson
2024-05-29,Blue Jays,White Sox,Alek Manoah,Chris Flexen
2024-05-29,Guardians,Rockies,Logan Allen,Ty Blach
2024-05-29,Yankees,Angels,Luis Gil,Tyler Anderson
2024-05-29,Astros,Mariners,Justin Verlander,George Kirby
