game_date,away_team,home_team,away_pitcher,home_pitcher
2024-08-30,MIL,CIN,Colin Rea,Nick Martinez
2024-08-30,ATL,PHI,Reynaldo López,Ranger Suárez
2024-08-30,BOS,DET,Tanner Houck,Casey Mize
2024-08-30,MIL,CIN,DL Hall,Rhett Lowder
2024-08-30,CHC,WSH,Shota Imanaga,Jake Irvin
2024-08-30,SD,TB,Martín Pérez,Taj Bradley
2024-08-30,STL,NYY,Erick Fedde,Marcus Stroman
2024-08-30,PIT,CLE,Bailey Falter,Ben Lively
2024-08-30,OAK,TEX,JP Sears,Jon Gray
2024-08-30,TOR,MIN,Kevin Gausman,Pablo López
2024-08-30,KC,HOU,Seth Lugo,Framber Valdez
2024-08-30,NYM,CWS,Tylor Megill,Jonathan Cannon
2024-08-30,BAL,COL,Albert Suárez,Austin Gomber
2024-08-30,SEA,LAA,George Kirby,Sam Aldegheri
2024-08-30,LAD,ARI,Clayton Kershaw,Zac Gallen
2024-08-30,MIA,SF,Adam Oller,Blake Snell
